neighbourhood,n_listings,precio_medio,precio_mediano,crimen_total_medio
Cuauhtémoc,10752,1536.82896205357,1205,2.5
Miguel Hidalgo,3858,1694.33773976153,1286,1
Benito Juárez,2593,990.266486694948,808,3
Coyoacán,1401,1029.6324054247,744,1
Venustiano Carranza,798,808.62030075188,638,1
Álvaro Obregón,787,1089.56289707751,903,1
Tlalpan,617,916.301458670989,585,2
Gustavo A. Madero,466,750.008583690987,545,4.25
Iztacalco,415,884.390361445783,720,1
Cuajimalpa de Morelos,354,1613.79943502825,1247,1
Azcapotzalco,338,686.53550295858,502.5,2
Iztapalapa,230,610.826086956522,530.5,5.25
Xochimilco,123,1044.08130081301,569,2
La Magdalena Contreras,105,1114.53333333333,763,1
Tláhuac,37,390.378378378378,342,1
Milpa Alta,22,1225.90909090909,725,0
